,apple_total_sleep,eight_total_sleep,apple_deep,eight_deep,apple_rem,eight_rem,apple_core,eight_core,apple_awake,eight_awake
2025-09-30,386.5333333333333,408.0,55.21666666666667,76.5,90.03333333333333,67.5,241.2833333333333,264.0,12.916666666666666,23.5
2025-10-01,323.8333333333333,368.5,26.866666666666667,33.0,74.13333333333333,53.0,222.83333333333331,282.5,10.45,70.5
2025-10-02,360.1333333333333,427.0,51.23333333333333,65.0,84.05,113.0,224.85,249.0,6.483333333333333,58.0
2025-10-03,314.3666666666667,535.0,36.31666666666666,84.0,88.06666666666668,77.0,189.98333333333335,374.0,139.28333333333333,33.5
2025-10-04,418.8666666666667,412.5,35.85,52.5,128.33333333333334,56.0,254.6833333333333,304.0,6.45,98.5
2025-10-05,455.6333333333333,422.0,26.833333333333336,63.5,112.91666666666666,115.5,315.8833333333333,243.0,10.466666666666667,121.5
2025-10-06,260.66666666666663,326.0,29.333333333333332,63.0,78.6,65.0,152.73333333333335,198.0,2.9833333333333334,56.0
2025-10-07,333.28333333333336,419.5,40.333333333333336,51.0,56.21666666666667,75.5,236.73333333333332,293.0,2.0,67.5
2025-10-08,351.1833333333333,48.5,38.28333333333333,0.0,77.60000000000001,15.0,235.29999999999998,33.5,1.5,45.5
2025-10-09,264.63333333333327,283.5,39.8,34.0,73.63333333333333,55.0,151.2,194.5,4.483333333333333,140.5
2025-10-10,339.73333333333335,331.5,38.83333333333333,37.0,83.56666666666666,45.0,217.33333333333334,249.5,8.983333333333334,135.5
2025-10-11,377.0666666666667,428.5,44.3,46.5,134.29999999999998,68.5,198.46666666666664,313.5,2.9833333333333334,120.0
2025-10-12,502.93333333333334,486.0,31.866666666666667,82.5,171.13333333333333,120.5,299.93333333333334,283.0,38.8,111.0
2025-10-13,266.6333333333333,163.5,50.733333333333334,6.5,75.13333333333333,18.0,140.76666666666668,139.0,210.91666666666666,177.0
2025-10-14,338.25,354.5,72.60000000000001,51.5,74.11666666666667,72.5,191.5333333333333,230.5,2.0,148.5
2025-10-15,377.5666666666666,395.5,29.366666666666667,46.5,110.93333333333334,99.5,237.26666666666662,249.5,5.483333333333333,70.0
2025-10-16,365.6333333333334,384.5,25.366666666666667,53.5,89.53333333333335,81.5,250.73333333333335,249.5,22.383333333333333,80.5
2025-10-17,413.3833333333333,378.5,28.35,49.5,93.51666666666667,83.5,291.51666666666665,245.5,24.866666666666667,204.5
2025-10-18,439.2666666666667,523.0,30.35,67.0,120.89999999999998,107.5,288.0166666666667,348.5,24.85,61.0
2025-10-19,375.58333333333337,188.5,30.833333333333332,25.5,81.10000000000001,30.0,263.65,133.0,3.966666666666667,178.0
2025-10-20,357.6666666666667,556.0,28.35,90.5,98.98333333333335,79.5,230.33333333333334,386.0,8.966666666666667,5.0
2025-10-21,282.58333333333326,443.0,28.35,60.0,64.68333333333334,79.0,189.55,304.0,5.95,110.0
2025-10-22,277.08333333333337,329.5,66.66666666666666,67.5,82.08333333333333,34.0,128.33333333333334,228.0,9.45,66.0
2025-10-23,301.45000000000005,260.0,36.81666666666667,49.5,84.06666666666666,52.5,180.56666666666663,158.0,2.4833333333333334,86.0
2025-10-24,342.25,387.5,20.4,34.0,63.2,96.5,258.65,257.0,11.433333333333334,55.0
2025-10-25,310.90000000000003,378.5,42.3,71.5,85.06666666666666,52.5,183.53333333333333,254.5,9.45,112.5
2025-10-26,378.05,438.5,38.31666666666666,49.5,116.39999999999999,112.5,223.33333333333334,276.5,1.0,11.0
2025-10-28,419.85,465.5,32.31666666666667,54.0,99.5,152.5,288.0333333333333,259.0,2.4833333333333334,20.5
2025-10-29,331.8,450.5,33.349999999999994,84.0,55.733333333333334,64.0,242.71666666666664,302.5,17.4,173.0
2025-10-30,369.11666666666673,462.5,32.83333333333333,98.5,73.63333333333333,94.0,262.65,270.0,2.4833333333333334,142.5
2025-10-31,382.5333333333333,445.0,57.18333333333334,76.0,111.38333333333333,128.5,213.96666666666667,240.5,18.4,27.0
2025-11-01,435.2833333333333,499.0,28.85,77.0,108.43333333333332,88.0,298.0,334.0,11.433333333333334,30.0
2025-11-03,353.18333333333334,356.5,39.800000000000004,75.0,107.93333333333334,51.0,205.45,230.5,13.433333333333334,76.5
2025-11-04,511.4,525.5,27.366666666666667,66.0,122.88333333333333,59.0,361.15,400.5,22.866666666666664,101.0
2025-11-05,292.5,467.0,26.35,42.5,33.81666666666666,41.5,232.33333333333334,383.0,8.466666666666667,74.0
2025-11-06,260.65000000000003,457.0,49.75,34.0,75.11666666666666,98.5,135.7833333333333,324.5,2.5,63.0
2025-11-07,352.7,379.5,37.81666666666666,69.0,64.66666666666666,47.5,250.21666666666667,263.0,22.9,69.0
2025-11-08,492.48333333333335,539.0,24.866666666666667,71.5,151.23333333333332,149.5,316.3833333333333,318.0,5.966666666666667,99.0
2025-11-09,397.95,417.5,55.21666666666667,97.0,119.9,71.0,222.83333333333334,249.5,101.98333333333333,177.5
2025-11-10,372.6,415.0,35.31666666666667,123.5,95.03333333333335,68.0,242.24999999999997,223.5,8.95,78.0
2025-11-11,456.68333333333334,438.5,38.8,36.5,144.26666666666668,88.5,273.6166666666667,313.5,15.4,66.5
2025-11-12,324.8166666666667,351.0,46.75,68.5,79.61666666666666,93.5,198.45000000000002,189.0,6.483333333333333,166.0
2025-11-13,250.71666666666667,324.5,56.21666666666667,65.0,53.73333333333333,50.0,140.76666666666665,209.5,0.5,122.5
2025-11-14,440.7333333333333,466.0,47.76666666666667,53.0,118.86666666666667,103.0,274.09999999999997,310.0,13.933333333333334,56.0
2025-11-15,458.18333333333334,503.5,29.866666666666667,100.5,108.95,140.0,319.3666666666667,263.0,30.316666666666663,33.5
2025-11-16,408.3833333333332,341.0,32.35,41.0,110.45000000000002,36.0,265.5833333333333,264.0,33.85,232.0
2025-11-17,451.70000000000005,447.5,55.21666666666666,90.5,143.26666666666665,71.5,253.21666666666664,285.5,24.35,93.5
2025-11-18,465.1,557.5,32.833333333333336,72.5,110.91666666666667,92.5,321.35,392.5,6.466666666666667,42.5
2025-11-19,357.65,301.0,47.25,59.5,74.61666666666667,45.5,235.78333333333333,196.0,42.3,187.0
2025-11-24,348.2166666666667,89.5,16.916666666666668,0.0,43.766666666666666,22.5,287.53333333333336,67.0,11.433333333333334,79.5
2025-11-26,576.0500000000001,601.5,19.383333333333336,94.0,182.58333333333334,152.5,374.08333333333326,355.0,16.916666666666668,28.5
2025-11-27,394.98333333333335,469.0,28.349999999999998,36.0,82.06666666666666,55.5,284.56666666666666,377.5,23.866666666666667,96.0
2025-11-28,310.4333333333333,328.5,40.8,41.0,91.03333333333333,115.5,178.59999999999997,172.0,105.45,144.5
2025-11-29,407.4166666666667,557.5,45.25,67.0,95.03333333333333,86.0,267.1333333333333,404.5,3.4833333333333334,71.0
2025-11-30,519.3333333333334,497.0,44.23333333333334,71.0,127.83333333333333,165.5,347.2666666666667,260.5,16.416666666666668,75.0
2025-12-01,434.3,421.5,37.81666666666666,39.5,112.88333333333333,65.0,283.59999999999997,317.0,2.466666666666667,92.0
